id,sentence,label,detailed_source,Morphology,Semantics,Syntax,Hallucination
0,Иван вчера не позвонил.,1,Paducheva2013,0,0,0,0
1,"У многих туристов, кто посещают Кемер весной, есть шанс застать снег на вершине горы Тахталы и даже сочетать пляжный отдых с горнолыжным.",0,USE8,0,0,1,0
2,"Лесные запахи набегали волнами; в них смешалось дыхание можжевельника, вереска, брусники.",1,USE5,0,0,0,0
3,Вчера президент имел неофициальную беседу с английским послом.,1,Seliverstova,0,0,0,0
4,Коллега так и не признал вину за катастрофу перед коллективом.,1,Testelets,0,0,0,0
5,Я говорил с ним только ради Вас.,1,Seliverstova,0,0,0,0
6,"Этот игрок был куплен «Реалом», чтобы он играл на правом фланге защиты.",1,Testelets,0,0,0,0
7,Ивану удалось попасть на концерт Макаревича.,1,Paducheva2013,0,0,0,0
8,Ты посылал ей приглашение на свадьбу?,1,Paducheva2010,0,0,0,0
9,После счастливого конца Тюлин предложил зайти в кабинет к директору.,1,Testelets,0,0,0,0
10,Вчера в два часа магазин закрыт.,0,Paducheva2004,0,1,0,0
11,"А ты ехай прямо к директору театров, князю Гагарину.",0,USE7,1,0,0,0
12,Малыш уже уверенно читает слова через мягкий знак.,0,Testelets,0,0,1,0
13,"Только бы он громко не закричал, когда найдет решение.",1,Paducheva2013,0,0,0,0
14,Гармоничные пропорции здания основаны на классических образцах.,1,USE5,0,0,0,0
15,Дело приняло дурной оборот.,1,Seliverstova,0,0,0,0
16,Вани не было в школе.,1,Paducheva2013,0,0,0,0
17,Кожа у виска была желтой.,1,Seliverstova,0,0,0,0
18,Но Коле не помог его иноверец.,0,Testelets,0,0,1,0
19,"Удивительно милый, честный, добрый человек, всегда готовый откликнуться на чужое горе, на слово которого можно положиться.",1,Testelets,0,0,0,0
20,Вчера мне нужно ехать на завод.,0,Rusgram,0,1,0,0
21,У нас нет каких бы то ни было.,1,Paducheva2013,0,0,0,0
22,Единичный случай в эксперименте не подтверждает гипотезу.,1,USE5,0,0,0,0
23,Маши тут не видно.,1,Paducheva2013,0,0,0,0
24,"Но только после того, как в третий раз сменил научрука, Королев поддался общему поветрию и решил уехать за границу.",1,Paducheva2004,0,0,0,0
25,"Я стою поблизости от Центризбиркома и наблюдаю за тем, что происходит у входа.",0,Seliverstova,0,1,0,0
26,"В качестве примеров были приведены случаи, о которых, кажется, что где-то я уже читал.",0,USE8,0,0,1,0
27,Разве он захватил какие-нибудь документы?,1,Paducheva2010,0,0,0,0
28,В эту минуту роман был прочитан.,0,Seliverstova,0,1,0,0
29,Скачи в район к телефону — кричи в ГПУ на Каспийское море.,1,Paducheva2010,0,0,0,0
30,"Я бы объявил, что собрание открыто.",0,Rusgram,0,1,0,0
31,Они читали мои жалобы на себя.,1,Testelets,0,0,0,0
32,Книги и журналы были на столе.,1,Paducheva2013,0,0,0,0
33,Мне предлагали написать на нее рецензию.,1,Paducheva2010,0,0,0,0
34,Одна женщина подарила яблоко мальчику.,1,Testelets,0,0,0,0
35,Мне бы хотелось иметь это кольцо.,1,Seliverstova,0,0,0,0
36,"Все, кто учились в математическом классе, сдали тест на отлично.",0,USE8,0,0,1,0
37,Его отсутствие на собрании подтвердило плохое мнение.,1,Paducheva2004,0,0,0,0
38,Он бежит в саду.,1,Testelets,0,0,0,0
39,У его веры был рациональный характер.,0,Seliverstova,0,1,0,0
40,"Я все видел, сам оставаясь незамеченным.",1,Testelets,0,0,0,0
41,Она взяла мне эту книгу в библиотеке.,1,Seliverstova,0,0,0,0
42,"На конференцию, которая проходила в Москве, прибыли триста один участник из всех регионов России.",0,USE8,0,0,1,0
43,Очень вкусный игристый напиток можно приготовить из айвы.,1,USE5,0,0,0,0
44,Поблизости от нас нет ни одного кинотеатра.,1,Seliverstova,0,0,0,0
45,Сторож наполняет бассейн водой.,1,Paducheva2004,0,0,0,0
46,В нашем лесу есть озеро.,1,Seliverstova,0,0,0,0
47,Было начато строить новый район.,0,Rusgram,0,0,1,0
48,Весь прошлый год сквер был прямоугольным.,0,Seliverstova,0,1,0,0
49,"Мне бы хотелось открыться кому-нибудь, но разве здесь есть такие люди, которые бы могли меня понять.",1,Seliverstova,0,0,0,0
50,Мы приняли его в партию.,1,Seliverstova,0,0,0,0
51,"Кроме того, учреждены специальные призы правительства, мэрии, приз союза цирковых деятелей и зрительских симпатий.",1,USE5,0,0,0,0
52,"Когда я вошел, она поливала цветы.",1,Paducheva2010,0,0,0,0
