label	sentence	source	category
1	Je participerai au congrès à moins que des obligations ne m’en empêchent.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22467/la-syntaxe/la-negation-et-la-restriction/constructions-avec-un-ne-expletif	syntax
1	Les météorologues ne s’expliquent pas la vague de chaleur de la dernière semaine d’avril.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25409/le-vocabulaire/nuances-semantiques/difference-entre-canicule-et-vague-de-chaleur	semantic
0	La journée était calme : point de vent, poing de bruit, point de mouvement.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22220/lorthographe/homophones-lexicaux/les-homophones-poing-et-point	morphology
0	Le juge s’est objecté à la remise en liberté du prévenu.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22905/la-grammaire/le-verbe/construction-de-certains-verbes/emploi-du-verbe-objecter	morphology
1	L’adjectif s’accorde avec le nom ou le pronom auquel il se rapporte.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24294/la-syntaxe/les-prepositions/preposition-apres-un-verbe/prepositions-a-employer-apres-le-verbe-saccorder	syntax
1	Quiconque a beaucoup vu peut avoir beaucoup retenu.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24218/la-grammaire/le-verbe/temps-grammaticaux/passe/generalites-sur-le-passe-compose	morphology
1	Cet homme ne consomme que peu ou pas de glucides.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23473/la-syntaxe/la-negation-et-la-restriction/peu-ou-pas-et-peu-ou-point	syntax
1	J’ai misé sur les seize des cinq jeux de roulette de notre section du casino.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24419/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/cas-particuliers-du-nombre-du-nom/les-numeraux-employes-comme-noms	morphology
1	Les rayons alpha, bêta et gamma sont notamment utilisés en médecine nucléaire.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23387/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/cas-particuliers-du-nombre-du-nom/singulier-pluriel-et-genre-du-nom-des-lettres-grecques-et-latines	morphology
1	La majorité d’entre nous restent au Québec durant leurs vacances.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24819/la-grammaire/le-verbe/accord-du-verbe-avec-le-sujet/sujet-qui-est-une-expression-de-quantite/accord-du-verbe-avec-la-plupart-certains-dentre-nous-parmi-vous	morphology
0	Les conventions conclus récemment ont exclu des articles qui étaient inclu précédemment.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21093/la-grammaire/le-verbe/conjugaison/conjugaison-des-verbes-inclure-exclure-et-conclure	morphology
1	Ces athlètes de haut niveau visent à participer aux prochains Olympiques.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25427/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-noms-particuliers/emploi-de-la-majuscule-et-de-la-minuscule-dans-lappellation-jeux-olympiques	syntax
1	Il faut passer le filin dans les œils de la voile.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24007/la-grammaire/le-nom/pluriel-des-noms/pluriel-et-sens-du-nom/sens-de-yeux-et-oeils	morphology
0	Sauront-ils rencontrer les besoins de l’enfant?	https://vitrinelinguistique.oqlf.gouv.qc.ca/22330/les-emprunts-a-langlais/emprunts-semantiques/emploi-deconseille-de-lemprunt-rencontrer	anglicism
1	Ce n’est pas elle ni moi.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25204/la-syntaxe/la-negation-et-la-restriction/coordonnants-et-ou-et-ni-dans-une-phrase-negative	syntax
1	Le conseil d’administration de cette société a été épuré.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22420/le-vocabulaire/paronymes/sens-et-emploi-de-apurer-et-de-epurer	semantic
0	Quand la parade est passée, le vieil homme s’est levé debout pour aller voir à la fenêtre.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22014/le-vocabulaire/pleonasmes/le-pleonasme-se-lever-debout	semantic
1	Emma travaille pour le Centre de recherche sur le vieillissement.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21529/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-types-de-denominations/majuscule-aux-noms-dorganismes-uniques-dans-un-etat	syntax
1	Cette fillette est fascinée par les éléphants.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23693/lorthographe/accents-trema-et-cedille/accent-aigu-et-accent-grave/laccent-aigu-positions-du-e-dans-le-mot	morphology
1	La ministre a dévoilé sa nouvelle politique relative aux services de garde.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21411/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-types-de-denominations/majuscule-dans-les-titres-de-fonction-et-les-appellations-de-convenance	syntax
1	Le droit à l’égalité est le leitmotiv de cet organisme.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24351/la-typographie/mise-en-relief/italique/emploi-de-litalique-ou-du-romain-pour-les-mots-en-langue-etrangere	syntax
1	Veuillez nous faire parvenir un chèque ou un mandat de 42,50 $.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23525/les-emprunts-a-langlais/emprunts-morphologiques/lexpression-deconseillee-au-montant-de	anglicism
1	Le bulletin météorologique annonçait de la neige ce matin, alors que c’est plutôt le soleil qui a percé.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24821/la-ponctuation/virgule/la-virgule-avec-alors-que	syntax
1	La pluie tombait si serré que mon parapluie était inefficace.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24036/la-grammaire/ladjectif/adjectif-employe-comme-adverbe/serre-employe-comme-adjectif-ou-adverbe	morphology
0	Ta nièce succédera lorsqu’il prendra sa retraite.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25644/la-grammaire/le-verbe/les-verbes-transitifs-et-intransitifs	morphology
0	Voici les installations que Hydro-Québec a ajoutées l’année dernière.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21737/lorthographe/elision-et-apostrophe/elision-obligatoire	morphology
1	D’autres facilités de crédit ont été accordées aux pays en voie de développement.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23682/les-emprunts-a-langlais/emprunts-semantiques/emploi-deconseille-de-lemprunt-facilites	anglicism
0	Elle a débutée comme simple choriste dans un groupe méconnu.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22312/le-vocabulaire/nuances-semantiques/difference-entre-commencer-et-debuter	semantic
0	Il a gagné un lot de 10 millions $ : des lors, il se pourrait qu’il prenne sa retraite bientôt.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23477/la-syntaxe/les-prepositions/preposition-devant-un-nom/la-preposition-des	syntax
0	En égard à son histoire peu ordinaire, les policiers l’ont relâché.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25077/le-vocabulaire/tours-dhorizon-et-autres-explications/tours-dhorizon/emploi-et-sens-dexpressions-composees-avec-egard	semantic
1	Cette fois, son dernier ouvrage ne s’adresse pas au grand public.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23295/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/nom-complement-dun-autre-nom/invariabilite-du-complement-du-nom-grand-public	morphology
0	À l’époque, les pirates capturait les navires qu’ils savaient chargés de biens.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24551/le-vocabulaire/nuances-semantiques/difference-entre-capter-captiver-et-capturer	semantic
1	Il sera difficile de respecter un délai si serré!	https://vitrinelinguistique.oqlf.gouv.qc.ca/22330/les-emprunts-a-langlais/emprunts-semantiques/emploi-deconseille-de-lemprunt-rencontrer	anglicism
1	La Direction régionale de l’Outaouais du ministère de l’Éducation a fermé ses portes.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22675/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-types-de-denominations/majuscule-aux-noms-dunites-administratives	syntax
1	Cet homme a voué quinze ans de sa vie à cette noble cause.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23464/les-emprunts-a-langlais/emprunts-semantiques/emploi-deconseille-de-lemprunt-dedie	anglicism
1	Tu vois, Julie, ça me semble raisonnable comme proposition.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22439/la-grammaire/les-homophones-grammaticaux/les-homophones-ca-ca-et-sa	morphology
0	La vitesse plafonds du train est de 250 km/h.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24057/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/nom-complement-dun-autre-nom/accord-en-nombre-des-complements-du-nom-plafond-et-plancher	morphology
1	Les élèves dessinent d’abord la carte du Québec, puis colorient en bleu les cours d’eau et d’une couleur différente chacun des territoires.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22026/le-vocabulaire/paronymes/sens-et-emploi-de-colorer-et-de-colorier	semantic
1	Il est évident qu’elle aime mieux travailler pour nous plutôt que pour nos concurrents.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21101/la-syntaxe/les-prepositions/preposition-devant-un-nom/repetition-des-prepositions-obligatoire-facultative-ou-omise	syntax
1	Nous n’avons comme souvenir de notre mère qu’un petit médaillon doré.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25436/la-syntaxe/les-prepositions/preposition-apres-un-verbe/prepositions-pour-et-comme-apres-le-verbe-avoir	syntax
1	Mangeons du pain et buvons de la bière.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21501/la-grammaire/les-homophones-grammaticaux/les-homophones-du-et-du	morphology
1	Il ponctuait ses phrases de Quoi encore! et de Ah non! tout en faisant les cent pas.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24329/la-typographie/mise-en-relief/italique/emploi-de-litalique-pour-les-signes-de-ponctuation	syntax
0	L’élève a été auditionner par son enseignant.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25217/le-vocabulaire/tours-dhorizon-et-autres-explications/mises-au-point/le-verbe-rencontrer-a-la-forme-passive	semantic
1	Notre ancienne méthode de travail s’est révélée la moins efficace.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22465/la-syntaxe/la-comparaison/accord-de-le-dans-les-comparaisons-avec-le-plus-le-mieux-le-moins	syntax
1	Rachel est fascinée par tout ce qui touche le Moyen Âge.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23545/la-prononciation/liaisons/changements-phoniques-dans-les-liaisons	morphology
0	Pierre prendrons sa retraite dans deux ans.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24127/la-grammaire/le-verbe/temps-grammaticaux/futur/le-futur-simple	morphology
1	Ainsi, les époux pourront par exemple faire rédiger un contrat.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25253/le-vocabulaire/tours-dhorizon-et-autres-explications/mises-au-point/les-constructions-ainsi-donc-et-ainsi-par-exemple	semantic
1	Nous avons déménagé l’atelier.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23919/la-grammaire/le-verbe/auxiliaires/emploi-des-auxiliaires-avec-le-verbe-demenager	morphology
1	Jeannette a organisé une chasse au trésor pour l’anniversaire de son fils.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22716/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-noms-particuliers/emploi-de-la-majuscule-et-de-la-minuscule-pour-le-nom-tresor	syntax
0	Il ne faut pas que les saucisses bouent longtemps.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24014/la-grammaire/le-verbe/conjugaison/emplois-du-verbe-bouillir	morphology
1	Nous avons accompagné les hors-d’œuvre d’une bouteille de champagne millésimé.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23574/les-emprunts-a-langlais/emprunts-integraux/lemprunt-deconseille-vintage	anglicism
0	Ce dessert, s’est un vrai régal.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22602/la-grammaire/les-homophones-grammaticaux/les-homophones-cest-et-sest	morphology
1	Les versions papier des journaux sont-elles vouées à l’extinction?	https://vitrinelinguistique.oqlf.gouv.qc.ca/24646/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/nom-complement-dun-autre-nom/invariabilite-du-complement-du-nom-papier	morphology
0	Mes grands-parents se souviennent de l’arrivée des premiers téléviseurs couleurs.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21494/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/cas-particuliers-du-nombre-du-nom/singulier-et-pluriel-du-mot-couleur	morphology
1	Isabelle a su choisir le moment adéquat et les mots appropriés pour formuler un commentaire pertinent sur cette exposition d’art contemporain.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22248/le-vocabulaire/nuances-semantiques/difference-entre-adequat-approprie-et-pertinent	semantic
0	Nous n’avons pas été en mesure de rencontrer nos objectifs de vente.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22330/les-emprunts-a-langlais/emprunts-semantiques/emploi-deconseille-de-lemprunt-rencontrer	anglicism
1	François a rencontré plusieurs membres du parti de l’Alliance canadienne.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22660/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-types-de-denominations/majuscule-aux-noms-de-partis-politiques	syntax
1	Sa lettre avait été publiée dans le journal.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22269/la-syntaxe/les-prepositions/preposition-devant-un-nom/les-prepositions-devant-un-nom-dimprime	syntax
0	Clément a demandé un près afin de se procurer une nouvelle voiture.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22060/lorthographe/homophones-lexicaux/les-homophones-pres-et-pret	morphology
1	Il est normal que des divergences d’opinions surviennent parfois entre collègues de travail.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22244/le-vocabulaire/nuances-semantiques/difference-entre-opinion-et-avis	semantic
1	Les conférences auront lieu le lundi et le mardi, le 4 et le 5 mai, en après-midi.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24552/la-grammaire/les-determinants/determinants-definis/repetition-du-determinant-defini-avec-des-dates-coordonnees	morphology
0	Jocelyne a eu le temps de lire dix pages rectos-versos.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23626/lorthographe/emploi-du-trait-dunion/cas-particuliers-demploi-du-trait-dunion/trait-dunion-dans-recto-verso	morphology
1	Tu m’as fait une de ces peurs!	https://vitrinelinguistique.oqlf.gouv.qc.ca/23399/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/cas-particuliers-du-nombre-du-nom/singulier-et-pluriel-du-nom-qui-suit-un-de-ces-ou-une-de-ces	morphology
0	Jocelyne a eu le temps de lire dix pages rectos versos.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23626/lorthographe/emploi-du-trait-dunion/cas-particuliers-demploi-du-trait-dunion/trait-dunion-dans-recto-verso	morphology
1	Si vous désirez participer au concours, remplissez le formulaire en ligne et envoyez‑le avant le 10 mars.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24208/la-grammaire/le-verbe/modes/imperatif/distinction-entre-limperatif-et-linfinitif	morphology
1	Il est moins aimable que je ne le pensais.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23549/la-prononciation/liaisons/contextes-de-liaisons-obligatoires	morphology
0	Les parties ont initié les négociations dans un climat cordial.	https://vitrinelinguistique.oqlf.gouv.qc.ca/21521/les-emprunts-a-langlais/emprunts-semantiques/emploi-deconseille-de-lemprunt-initier	anglicism
0	Pour raccourcir le document, j’ai fusionnée cette annexe avec le dernier chapitre.	https://vitrinelinguistique.oqlf.gouv.qc.ca/24049/la-grammaire/le-verbe/construction-de-certains-verbes/emploi-transitif-intransitif-et-pronominal-du-verbe-fusionner	morphology
1	Pour avoir une peau en santé, il importe de s’enduire le visage d’un lait hydratant matin et soir, selon lui.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22032/le-vocabulaire/paronymes/sens-et-emploi-de-enduire-et-de-induire	semantic
1	Est-ce que quelqu’un a pensé à frapper le champagne?	https://vitrinelinguistique.oqlf.gouv.qc.ca/21054/le-vocabulaire/improprietes/frapper-impropriete-et-emplois-corrects	semantic
1	Il m’appelait pour demander mon aide à tout moment.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23484/la-grammaire/le-nom/nombre-des-noms-dans-certains-emplois/cas-particuliers-du-nombre-du-nom/singulier-et-pluriel-des-expressions-avec-moment	morphology
1	Le pont de Québec relie la rive sud et la rive nord.	https://vitrinelinguistique.oqlf.gouv.qc.ca/25169/la-typographie/majuscules/emploi-de-la-majuscule-pour-des-noms-particuliers/emploi-des-majuscules-et-du-trait-dunion-dans-rive-nord-et-rive-sud	syntax
0	On pourra suivre pas à pas le tournage et le montage du film : le work in progress sera diffusée dans le site Internet du film pendant plus de six mois.	https://vitrinelinguistique.oqlf.gouv.qc.ca/23423/les-emprunts-a-langlais/emprunts-integraux/lemprunt-deconseille-work-in-progress	anglicism
1	Dans les monarchies héréditaires, la couronne se transmet au sein d’une même famille.	https://vitrinelinguistique.oqlf.gouv.qc.ca/22320/le-vocabulaire/nuances-semantiques/difference-entre-hereditaire-et-congenital	semantic
