sentence	label
张三被李四打了自己。	0
玛丽的儿子考上了北大。	1
张三的房间还好。	1
宿舍被他买花去了。	0
张三的脸稍微红红的。	0
我们玩了个痛快。	1
李四卖鱼已经三年了。	1
李四昨天才到。	1
他喜不喜欢什么？	0
那些学者从来避免引用后现代主义理论。	0
我听到了他弹钢琴的我拉小提琴的声音。	0
听了我的问话，他跳了起来。	1
小孩被学坏了。	0
他手下的旧部有的被拨归别人指挥。	0
这场长途赛车我们已经开了三分之一的路程了。	1
还有许多洞穴被我们没有发现。	0
温都太太到底早饭端来了。	0
阿Q拿过书。	1
张三高过李四。	1
太本来了。	0
我是一个美国太太。	1
你可以从纽约把车子开回来。	1
露露比丽丽漂亮很多。	1
小明站不站起来？	1
多么，他要一份详细的名单。	0
他能不能不去美国？	1
我拿刀切了肉。	1
你想去，可是我不想。	1
约翰喜欢玛丽，比尔是。	0
有的学者压根儿怀疑家庭存在的必要性。	0
小芳比小梅喜欢唱歌。	1
阿Q给你们烤了一块蛋糕。	1
一个人很聪明。	1
他在赶论文。	1
他们组可能上星期三加了班。	1
他写疼了手指。	0
她们根本压根儿防止人口流动。	0
杯子没摔碎了。	0
房间被完全收拾干净了。	1
就这南口儿汽车站，现在也是整个儿把那土呢，整个儿那个全给推平了。	0
有百分之八十的人都没去投票。	1
咱们玩它一幅痛快。	0
他的脸红了五分钟。	1
他敢做我也不敢的事。	0
张三非常特别高。	0
他们都比我高一头。	1
小河里流着清清的水。	1
你难道想说什么吗？	1
张三跑得不快。	1
这本书呢，你先别看。	1
张三怕李四会打他。	1
他以为每个学生，他都喜欢。	1
你的脚步怎么不轻轻的。	1
我听到了露露的宝玉弹钢琴的声音。	0
敌军没有抵赖他们提出的停战要求。	1
我想要一个室外看的望远镜。	1
张三在家。	1
他看了三个小时看书。	0
张三给来了。	0
李四去过台北，但我不知道几次。	0
这房子矮矮的。	1
大电影院看动作片很好，小电影院不好。	1
牛奶冷下来了。	1
张三书大概武侠小说看得最多。	0
我的爸爸是个英雄。	1
小狗杀死了。	0
阿Q无视任何人的存在。	1
王小姐，张三认为李四不喜欢。	0
有谁想不想吃苹果？	0
他已经把三个孩子先带回去了。	1
我看不见你。	1
这首歌把小S给唱哭了。	1
一只猫总是睡整天觉。	0
李奇写毛笔。	0
绝食比稍微节食可怕。	1
张三家里死了三个人在战场上。	1
妈妈呀，对朱自清写的散文很爱看。	0
你们，谁会怎么处理这件事？	1
这里的果树么，小王都剥过皮了吗？	0
小张爸爸是个英雄。	1
我们吃得很开心。	1
是每个男孩喜欢书，不是只有一部分男孩。	1
我认识他。	1
大锅子没煮什么肉，小锅子也没煮。	1
小王吧，多么调皮啊！	1
他居然杀了人。	1
好朋友！你知道吗？她准备给你写信的。她是那么激动地对我讲过想向你倾诉的话，不是一句，而是很多很多。	1
张三是老师。	1
所谓的玛丽的对局势的密切的关心有些多余。	1
这本书啊，你先别看。	1
张三在家里比在学校开心。	1
她把水泼在院子里。	1
他们攻到大楼里。	1
那本小说，他们唱得我没心思看。	0
世界记录，他差点没打破。	0
虽然他生病了，可是他仍然去上班。	1
他买了一个叉子，我也买了一个。	1
姐姐白色的衣服洗干净了。	1
他们一向就不差哭鼻子了。	0
这个真相我看不破。	1
他连便宜都不占。	1
学生都喜欢书。	1
你的玩具娃娃他给弄掉了一块。	1
人类用立法来抵消它的做法是不正当的，限制它的作用是任何时候都不被允许的，而要消灭它则是更不可能的。	1
张三想买三只两种狗。	0
他充分利用了硕士生的第一年，却把博士生的第一年浪费掉了。	1
我弟弟摔碎了一只花瓶。	1
张三死了父亲；李四也死了父亲。	1
他笑到脸上。	0
要是两个人找到每个线索。	0
太所谓了。	0
他有进步。	1
张三养了一条金鱼。	1
张三常常跳舞。	1
张三看得书很烦。	0
图书馆的书都给弄丢了。	1
他们逃到大山里。	1
他对广东话进行研究。	1
张三的三支铅笔不见了。	1
我把一碗汤喝完了。	1
什么人会都来？	0
那犯人跑了。	1
脸颊给笑疼了。	1
张三喝酒。	1
我们听讲的同学们被赵先生的勃然一怒愣住了。	0
吃它一个很痛快。	0
孩子吃饱了。	1
你认为他会怎么样做？	1
饭后，他喜欢抽一根烟。	1
每个人都来了。	1
他也买什么？	0
妈妈呢，对朱自清写的散文很爱看。	0
五公斤盐多了，我只要四公斤。	1
科学家要是看到发生什么地质灾害，会马上汇报。。	1
张三明年出国的计划不太现实。	1
你教你的英文，我睡我的觉。	1
老王嘛，你先带过来给我看一下！	1
有谁想不想吃苹果。	0
约翰追累了李。	0
书放在桌上，从来没人动过。	1
都十分高兴。	1
他们今天会把文件寄到办公室。	1
我挺舒服。	1
那个人喜欢吃哪种鱼？	1
张三需要明天有一辆自行车。	0
他们一向就差哭鼻子了。	0
英雄死在国外。	1
虽然我很丑，但是我很温柔。	1
博士生的第一年不是人过的，硕士生的第一年则如天上人间。	1
我一定得照顾他们，因为他不会。	1
他一向没有拒绝过记者的上门采访。	1
怎么了？	1
我让五个学生吃十碗饭。	1
这机器死过好几次火。	1
他声音低低的。	1
我个问题不在这儿。	0
我买了十磅的这包糖果。	0
他在1950年连业都没毕。	1
住在中国的人怕一个暴虐的政府。	1
张三唱歌的声音比李四哭的还难听。	1
我昨天看到的那场比赛出乎我的意料。	1
米饭给煮糊了。	1
木头的桌子这种低档家具很难卖出去。	1
他有去北京。	1
每个专业都怎么样？	1
前三个人抬不动这架钢琴。	1
这件衣服还算便宜。	1
李奇睡地板。	1
我和她们都是妯娌。	1
张三比李四稍矮些，比王五，可是高一头还多。	1
张三应不应该告诉李四谁会来？	1
他们，我很喜欢。	0
是谁买了一本书？	1
这里不允许堂吃。	1
露露睡了。	1
他们会吃的橘子一定很甜；不会的橘子一定不甜。	0
张三今天比李四认为王五昨天开心。	0
他租那座房子租了一年。	1
这个商店开张起来才卖出去两三条裤腰带。	1
他合写一本书。	0
张三重我三公斤。	1
老板因为他经常迟到比因为他偶尔犯错还更生气。	0
孩子给病了。	0
是谁买的狗最可爱？	1
他把这些文章都看得很生气。	0
你走慢一点！	1
他不能做每件我敢的事。	0
她是中国人吗？	1
玻璃差点破了。	1
他踢破了他的球鞋。	1
一种新型方法最近问世。	1
小红上二楼拿书包。	1
我不明白你对这个计划所有的。	0
他养了半年。	0
米饭全给吃完了，你让我吃什么！	1
我睡那个沙发，它很小。	0
阿奇用毛笔写，丽丽用什么写？	1
三个学生，他很喜欢。	0
王五自残。	1
这个球差点没进，幸亏守门员接住了。	0
他唱歌。	1
他可坏了。	1
他那三本有关语言学的书被我借走了。	1
他差点没打破了世界记录。	0
我给每个人都一本书。	0
这件衣服还便宜。	1
老王戴着眼镜看报纸。	1
他们不跑得很快。	0
被梁大牙的枪托子着实砸了一家伙，差点儿没把肋巴骨给砸断了。	1
我有一篇论文还在看。	1
小明对老师恭恭敬敬的。	1
张三买了一辆很快的车，但我不知道是多快。	1
最多两个人会去？	1
毛衣奶奶织大了，穿起来不好看。	1
这就是那一大只狗。	0
我没过问他对这个案子所进行的。	0
一位读者要买《虾球传》，挑选了好一会，才找到一本稍为满意的。	1
老张是山东人。	1
张三买了车，但我不知道多新。	1
可能那本书他已经买了。	1
张三死了的父亲被埋了。	1
这个小男孩被所迷惑。	0
我明年去的北京。	0
这是白那块布。	0
他用针戳。	1
一只猫如果生病了；总是睡整天觉。	0
